OrderID;CustomerName;ShipperName;GlobalID
10845;QUICK-Stop;Speedy Express;6230
10847;Save-a-lot Markets;Federal Shipping;6231
10852;Rattlesnake Canyon Grocery;Speedy Express;6232
10865;QUICK-Stop;Speedy Express;6233
10906;Wolski  Zajazd;Federal Shipping;6234
10931;Richter Supermarkt;United Package;6235
10937;Cactus Comidas para llevar;Federal Shipping;6236
10944;Bottom-Dollar Markets;Federal Shipping;6237
10953;Around the Horn;United Package;6238
10960;HILARION-Abastos;Speedy Express;6239
10970;Bólido Comidas preparadas;Speedy Express;6240
10974;Split Rail Beer & Ale;Federal Shipping;6241
10994;Vaffeljernet;Federal Shipping;6242
10998;Wolski  Zajazd;United Package;6243
11012;Frankenversand;Federal Shipping;6244
11015;Santé Gourmet;United Package;6245
11023;B's Beverages;United Package;6246
11042;Comércio Mineiro;Speedy Express;6247
11056;Eastern Connection;United Package;6248
11067;Drachenblut Delikatessen;United Package;6249
10253;Hanari Carnes;United Package;6250
10269;White Clover Markets;Speedy Express;6251
10276;Tortuga Restaurante;Federal Shipping;6252
10281;Romero y tomillo;Speedy Express;6253
10311;Du monde entier;Federal Shipping;6254
10320;Wartian Herkku;Federal Shipping;6255
10325;Königlich Essen;Federal Shipping;6256
10342;Frankenversand;United Package;6257
10352;Furia Bacalhau e Frutos do Mar;Federal Shipping;6258
10386;Familia Arquibaldo;Federal Shipping;6259
10396;Frankenversand;Federal Shipping;6260
10399;Vaffeljernet;Federal Shipping;6261
10423;Gourmet Lanchonetes;Federal Shipping;6262
10430;Ernst Handel;Speedy Express;6263
10431;Bottom-Dollar Markets;United Package;6264
10432;Split Rail Beer & Ale;United Package;6265
10451;QUICK-Stop;Federal Shipping;6266
10473;Island Trading;Federal Shipping;6267
10478;Victuailles en stock;Federal Shipping;6268
10485;LINO-Delicateses;United Package;6269
10515;QUICK-Stop;Speedy Express;6270
10518;Tortuga Restaurante;United Package;6271
10528;Great Lakes Food Market;United Package;6272
10537;Richter Supermarkt;Speedy Express;6273
10549;QUICK-Stop;Speedy Express;6274
10557;Lehmanns Marktstand;United Package;6275
10575;Morgenstern Gesundkost;Speedy Express;6276
10576;Tortuga Restaurante;Federal Shipping;6277
10591;Vaffeljernet;Speedy Express;6278
10647;Que Delícia;United Package;6279
10663;Bon app';United Package;6280
10672;Berglunds snabbköp;United Package;6281
10685;Gourmet Lanchonetes;United Package;6282
10688;Vaffeljernet;United Package;6283
10693;White Clover Markets;Federal Shipping;6284
10701;Hungry Owl All-Night Grocers;Federal Shipping;6285
10707;Around the Horn;Federal Shipping;6286
10715;Bon app';Speedy Express;6287
10720;Que Delícia;United Package;6288
10726;Eastern Connection;Speedy Express;6289
10741;Around the Horn;Federal Shipping;6290
10774;Folk och fä HB;Speedy Express;6291
10777;Gourmet Lanchonetes;United Package;6292
10780;LILA-Supermercado;Speedy Express;6293
10787;La maison d'Asie;Speedy Express;6294
10817;Königlich Essen;United Package;6295
10827;Bon app';United Package;6296
10828;Rancho grande;Speedy Express;6297